Customer_ID,Age,Gender,City,Monthly_Income,Spending_Score,Purchase_Amount,Product_Category,Purchase_Date
71,51,Female,Delhi,62891,46,32781,Clothing,2024-03-11
72,27,Male,Bangalore,101912,78,14652,Furniture,2024-03-12
73,53,Male,Hyderabad,26588,4,6103,Electronics,2024-03-13
74,31,Male,Mumbai,110536,30,26500,Electronics,2024-03-14
75,48,Male,Hyderabad,26304,95,35800,Sports,2024-03-15
76,32,Male,Delhi,27345,75,36529,Furniture,2024-03-16
77,25,Male,Delhi,49300,99,48963,Groceries,2024-03-17
78,31,Male,Bangalore,44259,72,19452,Groceries,2024-03-18
79,40,Male,Hyderabad,111006,3,32174,Furniture,2024-03-19
80,57,Male,Mumbai,108553,14,36436,Groceries,2024-03-20
81,38,Male,Mumbai,35352,60,48406,Electronics,2024-03-21
82,33,Female,Chennai,149350,77,16954,Groceries,2024-03-22
83,62,Female,Mumbai,53365,45,18186,Groceries,2024-03-23
84,35,Male,Bangalore,39446,96,13356,Furniture,2024-03-24
85,64,Female,Bangalore,22336,34,33963,Furniture,2024-03-25
86,41,Female,Mumbai,82032,45,3187,Groceries,2024-03-26
87,43,Male,Mumbai,95415,61,12707,Clothing,2024-03-27
88,42,Male,Chennai,117852,83,36098,Furniture,2024-03-28
89,62,Male,Mumbai,118876,16,27935,Sports,2024-03-29
90,58,Female,Chennai,27521,66,22225,Sports,2024-03-30
91,46,Female,Chennai,91707,40,4606,Electronics,2024-03-31
92,32,Male,Mumbai,43481,17,33828,Groceries,2024-04-01
93,62,Male,Delhi,38474,34,27489,Clothing,2024-04-02
94,18,Male,Delhi,66760,16,15387,Electronics,2024-04-03
95,42,Female,Chennai,75718,60,4927,Groceries,2024-04-04
96,24,Female,Mumbai,64629,66,7296,Furniture,2024-04-05
97,26,Female,Delhi,65232,66,31444,Sports,2024-04-06
98,41,Female,Mumbai,106544,90,47390,Clothing,2024-04-07
99,18,Male,Mumbai,87169,13,47893,Sports,2024-04-08
100,61,Male,Mumbai,147941,56,3591,Furniture,2024-04-09
101,25,Male,Hyderabad,70669,31,45895,Groceries,2024-04-10
102,41,Male,Mumbai,98021,34,49516,Furniture,2024-04-11
103,28,Female,Hyderabad,129153,39,27147,Furniture,2024-04-12
104,34,Female,Chennai,89184,67,39889,Sports,2024-04-13
105,25,Male,Delhi,67945,8,2200,Clothing,2024-04-14
106,52,Male,Delhi,33140,87,16721,Furniture,2024-04-15
107,52,Female,Delhi,146468,78,20238,Sports,2024-04-16
108,50,Male,Delhi,103457,55,12087,Clothing,2024-04-17
109,22,Female,Delhi,34357,27,31816,Groceries,2024-04-18
110,59,Male,Delhi,131672,93,24408,Groceries,2024-04-19
111,56,Male,Delhi,88673,53,40740,Electronics,2024-04-20
112,58,Male,Chennai,141673,39,1136,Sports,2024-04-21
113,45,Male,Mumbai,85633,65,18413,Clothing,2024-04-22
114,24,Male,Bangalore,96943,17,49114,Furniture,2024-04-23
115,26,Male,Hyderabad,116111,30,19978,Groceries,2024-04-24
116,25,Male,Bangalore,98258,53,1661,Clothing,2024-04-25
117,29,Female,Bangalore,32924,13,36240,Sports,2024-04-26
118,51,Female,Mumbai,89286,21,28253,Electronics,2024-04-27
119,50,Female,Mumbai,113269,19,27884,Groceries,2024-04-28
120,40,Female,Mumbai,147563,53,33854,Clothing,2024-04-29
121,41,Female,Delhi,94071,19,11704,Clothing,2024-04-30
122,54,Male,Chennai,77326,57,39987,Clothing,2024-05-01
123,52,Male,Delhi,110023,25,25527,Sports,2024-05-02
124,61,Female,Chennai,140101,86,17322,Sports,2024-05-03
125,57,Male,Chennai,50651,31,48517,Sports,2024-05-04
126,39,Female,Bangalore,90202,81,7968,Furniture,2024-05-05
127,44,Female,Bangalore,68777,55,28518,Clothing,2024-05-06
128,52,Male,Chennai,36994,23,47364,Groceries,2024-05-07
129,18,Male,Chennai,87263,32,28886,Sports,2024-05-08
130,52,Male,Delhi,79634,62,2700,Sports,2024-05-09
131,54,Female,Delhi,120158,74,29246,Clothing,2024-05-10
132,64,Male,Bangalore,30800,10,36468,Sports,2024-05-11
133,31,Female,Mumbai,57823,100,24199,Furniture,2024-05-12
134,20,Female,Chennai,128575,72,45589,Furniture,2024-05-13
135,18,Female,Delhi,83878,54,33115,Sports,2024-05-14
136,22,Male,Bangalore,38708,52,6520,Clothing,2024-05-15
137,43,Male,Delhi,32819,20,45278,Clothing,2024-05-16
138,31,Female,Chennai,94905,32,37455,Clothing,2024-05-17
139,56,Male,Chennai,83870,14,21929,Electronics,2024-05-18
140,44,Male,Hyderabad,29283,50,42605,Sports,2024-05-19
141,26,Male,Mumbai,50573,28,15955,Clothing,2024-05-20
142,32,Female,Hyderabad,98707,53,45049,Furniture,2024-05-21
143,32,Female,Bangalore,50933,24,14917,Groceries,2024-05-22
144,43,Male,Delhi,25774,79,5757,Groceries,2024-05-23
145,59,Female,Bangalore,92055,22,14045,Clothing,2024-05-24
146,30,Male,Chennai,30983,30,42680,Groceries,2024-05-25
147,49,Male,Hyderabad,116468,63,5733,Groceries,2024-05-26
148,56,Male,Hyderabad,116334,4,31954,Electronics,2024-05-27
149,49,Male,Hyderabad,38133,77,32135,Furniture,2024-05-28
150,21,Female,Bangalore,145555,59,8081,Furniture,2024-05-29
151,47,Female,Chennai,34939,87,42458,Electronics,2024-05-30
152,54,Female,Delhi,20781,8,24501,Electronics,2024-05-31
153,40,Male,Delhi,134586,82,22113,Groceries,2024-06-01
154,56,Male,Bangalore,76700,12,35441,Sports,2024-06-02
155,62,Male,Hyderabad,47624,31,48086,Groceries,2024-06-03
156,32,Female,Mumbai,26823,78,25690,Electronics,2024-06-04
157,60,Male,Bangalore,38489,34,44939,Furniture,2024-06-05
158,46,Female,Bangalore,138555,82,30345,Groceries,2024-06-06
159,53,Female,Chennai,59961,98,47313,Sports,2024-06-07
160,30,Female,Delhi,139664,75,45571,Groceries,2024-06-08
161,49,Female,Bangalore,49118,76,27829,Clothing,2024-06-09
162,24,Female,Bangalore,120417,49,36062,Groceries,2024-06-10
163,39,Female,Hyderabad,101816,79,4630,Electronics,2024-06-11
164,45,Male,Hyderabad,42263,57,48861,Furniture,2024-06-12
165,19,Male,Mumbai,33565,95,32870,Furniture,2024-06-13
166,59,Female,Chennai,40354,93,48221,Electronics,2024-06-14
167,62,Female,Mumbai,62951,26,45942,Clothing,2024-06-15
168,23,Male,Hyderabad,111179,18,4453,Electronics,2024-06-16
169,45,Female,Delhi,43648,96,38275,Groceries,2024-06-17
170,45,Female,Hyderabad,70729,86,44370,Electronics,2024-06-18
171,61,Male,Chennai,61971,38,39396,Electronics,2024-06-19
172,61,Female,Hyderabad,38658,81,9328,Clothing,2024-06-20
173,37,Female,Chennai,41253,87,16534,Groceries,2024-06-21
174,47,Female,Chennai,84166,88,20744,Sports,2024-06-22
175,28,Male,Chennai,68563,50,20389,Sports,2024-06-23
176,45,Male,Chennai,46390,8,37320,Furniture,2024-06-24
177,42,Male,Chennai,108664,41,36010,Electronics,2024-06-25
178,56,Female,Delhi,71578,6,15665,Furniture,2024-06-26
179,50,Female,Mumbai,99025,69,38865,Clothing,2024-06-27
180,18,Male,Bangalore,123850,44,9640,Sports,2024-06-28
181,44,Female,Mumbai,52658,64,35716,Electronics,2024-06-29
182,30,Female,Chennai,26852,29,26521,Clothing,2024-06-30
183,58,Female,Delhi,147282,28,31049,Clothing,2024-07-01
184,20,Female,Hyderabad,114986,11,6618,Electronics,2024-07-02
185,56,Female,Delhi,22551,65,38004,Clothing,2024-07-03
186,23,Male,Chennai,91947,19,2920,Electronics,2024-07-04
187,25,Female,Delhi,81001,9,44937,Electronics,2024-07-05
188,44,Male,Delhi,69159,27,5188,Groceries,2024-07-06
189,26,Female,Chennai,142775,34,13207,Furniture,2024-07-07
190,54,Male,Delhi,71707,44,1238,Clothing,2024-07-08
191,50,Female,Bangalore,53243,68,33972,Clothing,2024-07-09
192,59,Male,Bangalore,41800,100,11799,Groceries,2024-07-10
193,61,Female,Delhi,95939,82,6552,Groceries,2024-07-11
194,41,Male,Hyderabad,77828,15,29916,Groceries,2024-07-12
195,32,Female,Chennai,27239,51,5927,Sports,2024-07-13
196,49,Male,Bangalore,26710,13,28964,Sports,2024-07-14
197,49,Female,Hyderabad,41384,83,12164,Sports,2024-07-15
198,41,Male,Delhi,41038,49,38158,Electronics,2024-07-16
199,58,Male,Hyderabad,60846,70,20071,Clothing,2024-07-17
200,29,Female,Mumbai,107983,56,49409,Furniture,2024-07-18
201,56,Female,Bangalore,87821,76,7160,Electronics,2024-07-19
202,19,Male,Delhi,57991,51,16810,Clothing,2024-07-20
203,20,Female,Chennai,99057,37,6126,Clothing,2024-07-21
204,54,Male,Delhi,133193,17,31009,Groceries,2024-07-22
205,34,Male,Chennai,26971,58,34584,Groceries,2024-07-23
206,19,Male,Delhi,49139,87,47182,Electronics,2024-07-24
207,19,Female,Hyderabad,105445,90,26396,Groceries,2024-07-25
208,45,Male,Hyderabad,97067,29,1192,Clothing,2024-07-26
209,40,Male,Hyderabad,100257,33,37413,Groceries,2024-07-27
210,54,Female,Mumbai,104742,60,13816,Sports,2024-07-28
211,49,Female,Chennai,57711,91,40082,Groceries,2024-07-29
212,50,Female,Hyderabad,26530,89,33130,Clothing,2024-07-30
213,18,Female,Mumbai,31116,55,41142,Electronics,2024-07-31
214,36,Male,Chennai,85794,10,37468,Furniture,2024-08-01
215,19,Male,Delhi,20282,47,31698,Groceries,2024-08-02
216,61,Male,Mumbai,99473,23,11655,Clothing,2024-08-03
217,43,Male,Bangalore,21898,85,48897,Furniture,2024-08-04
218,49,Female,Mumbai,24135,21,31075,Furniture,2024-08-05
219,23,Male,Mumbai,26629,13,10359,Sports,2024-08-06
220,49,Male,Chennai,129472,33,37661,Furniture,2024-08-07
221,21,Female,Delhi,145147,24,40579,Clothing,2024-08-08
222,28,Male,Bangalore,105120,11,43056,Clothing,2024-08-09
223,34,Male,Hyderabad,139798,17,34272,Groceries,2024-08-10
224,55,Male,Hyderabad,109087,68,43581,Groceries,2024-08-11
225,41,Male,Mumbai,85031,47,15671,Groceries,2024-08-12
226,22,Male,Chennai,53380,25,28048,Furniture,2024-08-13
227,51,Male,Chennai,149951,94,11738,Furniture,2024-08-14
228,23,Female,Hyderabad,132507,73,26963,Sports,2024-08-15
229,39,Female,Bangalore,37071,21,44954,Groceries,2024-08-16
230,28,Male,Delhi,40074,84,7773,Electronics,2024-08-17
231,33,Male,Bangalore,110724,83,37584,Sports,2024-08-18
232,50,Female,Delhi,87843,83,30894,Electronics,2024-08-19
233,26,Male,Hyderabad,59901,12,1717,Furniture,2024-08-20
234,23,Male,Delhi,31205,37,12676,Sports,2024-08-21
235,33,Male,Chennai,75661,42,5434,Sports,2024-08-22
236,46,Female,Mumbai,144661,17,38825,Clothing,2024-08-23
237,20,Male,Mumbai,25906,48,30100,Furniture,2024-08-24
238,37,Female,Hyderabad,22591,28,5994,Furniture,2024-08-25
239,53,Male,Chennai,145576,41,5234,Sports,2024-08-26
240,36,Female,Bangalore,82987,99,4764,Furniture,2024-08-27
241,43,Female,Chennai,83370,47,44949,Sports,2024-08-28
242,20,Male,Mumbai,100685,18,38405,Clothing,2024-08-29
243,36,Female,Mumbai,130454,78,35872,Sports,2024-08-30
244,37,Male,Chennai,125487,99,43215,Furniture,2024-08-31
245,49,Female,Chennai,74400,71,24185,Furniture,2024-09-01
246,24,Male,Mumbai,45150,13,44442,Sports,2024-09-02
247,58,Male,Bangalore,51852,82,42153,Sports,2024-09-03
248,50,Female,Hyderabad,62870,13,12999,Sports,2024-09-04
249,57,Male,Hyderabad,139796,100,37487,Groceries,2024-09-05
250,56,Male,Chennai,72756,31,3581,Furniture,2024-09-06
251,35,Female,Hyderabad,135357,2,3763,Furniture,2024-09-07
252,57,Male,Mumbai,139052,16,28374,Groceries,2024-09-08
253,18,Male,Mumbai,76481,9,39759,Sports,2024-09-09
254,28,Female,Chennai,21283,73,11531,Clothing,2024-09-10
255,45,Female,Chennai,53691,38,26307,Sports,2024-09-11
256,42,Male,Chennai,21125,75,31835,Sports,2024-09-12
257,40,Male,Bangalore,87065,54,12064,Groceries,2024-09-13
258,48,Female,Hyderabad,148734,56,12312,Furniture,2024-09-14
259,47,Female,Chennai,46170,86,38548,Sports,2024-09-15
260,59,Male,Delhi,28438,97,37945,Furniture,2024-09-16
261,52,Female,Delhi,40095,100,48937,Electronics,2024-09-17
262,24,Male,Mumbai,36154,87,7476,Furniture,2024-09-18
263,33,Male,Hyderabad,28004,45,25565,Clothing,2024-09-19
264,43,Male,Chennai,29752,34,3382,Clothing,2024-09-20
265,19,Male,Delhi,75426,9,23463,Sports,2024-09-21
266,18,Male,Hyderabad,128896,88,46276,Furniture,2024-09-22
267,29,Female,Mumbai,46819,8,34402,Sports,2024-09-23
268,22,Female,Bangalore,122168,7,27345,Groceries,2024-09-24
269,54,Female,Hyderabad,112051,36,45764,Clothing,2024-09-25
270,49,Female,Hyderabad,147905,18,27946,Sports,2024-09-26
271,26,Male,Bangalore,44217,3,15162,Groceries,2024-09-27
272,58,Male,Hyderabad,145949,28,47773,Sports,2024-09-28
273,52,Male,Mumbai,108708,70,9397,Furniture,2024-09-29
274,36,Male,Mumbai,52994,44,23335,Furniture,2024-09-30
275,33,Female,Bangalore,35036,21,46095,Furniture,2024-10-01
276,20,Male,Chennai,97275,28,15394,Furniture,2024-10-02
277,37,Male,Delhi,117756,54,28197,Electronics,2024-10-03
278,41,Female,Chennai,69416,54,23010,Groceries,2024-10-04
279,50,Female,Hyderabad,29587,65,25123,Groceries,2024-10-05
280,41,Female,Delhi,130053,100,23387,Furniture,2024-10-06
281,28,Female,Bangalore,115665,21,3890,Electronics,2024-10-07
282,25,Male,Bangalore,20645,99,28769,Furniture,2024-10-08
283,53,Male,Delhi,50930,13,44626,Electronics,2024-10-09
284,55,Female,Mumbai,101835,57,9026,Furniture,2024-10-10
285,57,Male,Delhi,142232,49,4306,Clothing,2024-10-11
286,37,Male,Hyderabad,50090,54,34665,Clothing,2024-10-12
287,52,Male,Mumbai,107489,10,10277,Sports,2024-10-13
288,42,Female,Bangalore,72142,53,43239,Furniture,2024-10-14
289,52,Male,Delhi,131979,44,48664,Groceries,2024-10-15
290,42,Female,Chennai,46475,47,49008,Sports,2024-10-16
291,46,Male,Chennai,38888,53,15683,Clothing,2024-10-17
292,35,Male,Hyderabad,63732,74,1670,Furniture,2024-10-18
293,63,Male,Chennai,101623,46,24675,Sports,2024-10-19
294,35,Female,Delhi,66305,13,18889,Furniture,2024-10-20
295,19,Male,Delhi,66037,37,45535,Clothing,2024-10-21
296,52,Female,Chennai,29346,24,14006,Sports,2024-10-22
297,33,Female,Delhi,20587,2,49536,Clothing,2024-10-23
298,58,Female,Hyderabad,32763,86,27531,Electronics,2024-10-24
299,53,Male,Mumbai,79165,81,22639,Clothing,2024-10-25
300,50,Male,Hyderabad,127481,100,17633,Furniture,2024-10-26
301,21,Male,Hyderabad,89615,14,35660,Groceries,2024-10-27
302,50,Male,Delhi,56116,10,4439,Clothing,2024-10-28
303,31,Female,Mumbai,140987,35,33172,Groceries,2024-10-29
304,38,Female,Delhi,105751,25,36622,Electronics,2024-10-30
305,37,Female,Bangalore,111353,3,12577,Sports,2024-10-31
306,25,Male,Delhi,110301,17,12763,Sports,2024-11-01
307,24,Female,Delhi,115648,12,21176,Groceries,2024-11-02
308,20,Male,Delhi,45556,54,45386,Sports,2024-11-03
309,34,Female,Mumbai,79042,24,25255,Clothing,2024-11-04
310,50,Male,Delhi,38099,29,42003,Groceries,2024-11-05
311,29,Male,Mumbai,129089,43,20996,Furniture,2024-11-06
312,39,Female,Chennai,65096,25,36386,Clothing,2024-11-07
313,39,Female,Bangalore,91986,100,22062,Clothing,2024-11-08
314,63,Female,Mumbai,33230,60,36931,Clothing,2024-11-09
315,47,Female,Chennai,49009,90,36710,Furniture,2024-11-10
316,55,Male,Mumbai,90969,65,35693,Electronics,2024-11-11
317,55,Female,Mumbai,53866,84,36740,Sports,2024-11-12
318,62,Female,Bangalore,125400,28,12705,Groceries,2024-11-13
319,25,Female,Hyderabad,104246,16,44408,Electronics,2024-11-14
320,44,Male,Hyderabad,96975,47,29047,Groceries,2024-11-15
321,44,Male,Mumbai,61855,81,11966,Sports,2024-11-16
322,51,Female,Delhi,101557,92,18374,Furniture,2024-11-17
323,38,Male,Chennai,26416,58,12138,Clothing,2024-11-18
324,47,Female,Delhi,92516,76,16935,Clothing,2024-11-19
325,50,Male,Delhi,75915,27,46913,Furniture,2024-11-20
326,45,Male,Mumbai,38058,53,1489,Electronics,2024-11-21
327,64,Male,Mumbai,96637,42,45516,Electronics,2024-11-22
328,50,Male,Mumbai,60718,59,23260,Groceries,2024-11-23
329,22,Female,Mumbai,52602,47,27069,Furniture,2024-11-24
330,36,Female,Hyderabad,94658,94,20275,Electronics,2024-11-25
331,21,Female,Mumbai,98112,34,37284,Furniture,2024-11-26
332,52,Male,Hyderabad,78067,37,40178,Sports,2024-11-27
333,34,Female,Hyderabad,47516,6,33821,Clothing,2024-11-28
334,61,Female,Mumbai,149295,7,17999,Clothing,2024-11-29
335,45,Female,Bangalore,107969,96,39712,Clothing,2024-11-30
336,47,Male,Chennai,21089,96,41172,Furniture,2024-12-01
337,46,Male,Delhi,57346,25,34722,Furniture,2024-12-02
338,63,Male,Hyderabad,94663,33,11625,Groceries,2024-12-03
339,23,Female,Chennai,30487,55,2629,Clothing,2024-12-04
340,52,Female,Bangalore,20155,58,11973,Groceries,2024-12-05
341,58,Female,Delhi,143950,7,7859,Clothing,2024-12-06
342,54,Male,Delhi,87494,57,42609,Groceries,2024-12-07
343,41,Male,Hyderabad,96229,12,44307,Groceries,2024-12-08
344,46,Female,Mumbai,124648,16,46450,Sports,2024-12-09
345,63,Male,Bangalore,58547,80,37046,Groceries,2024-12-10
346,48,Male,Hyderabad,48795,43,22839,Furniture,2024-12-11
347,52,Male,Bangalore,75296,100,28216,Groceries,2024-12-12
348,50,Male,Mumbai,41447,77,19945,Clothing,2024-12-13
349,38,Female,Mumbai,56598,7,7539,Groceries,2024-12-14
350,49,Male,Hyderabad,61814,100,34625,Electronics,2024-12-15
351,40,Male,Mumbai,110751,51,5886,Clothing,2024-12-16
352,50,Male,Chennai,145118,73,46713,Electronics,2024-12-17
353,20,Male,Delhi,95330,32,8485,Clothing,2024-12-18
354,35,Female,Hyderabad,141347,75,32455,Furniture,2024-12-19
355,42,Female,Bangalore,118745,8,47448,Furniture,2024-12-20
356,59,Male,Chennai,107960,97,17767,Furniture,2024-12-21
357,48,Male,Hyderabad,83278,87,48165,Electronics,2024-12-22
358,20,Male,Mumbai,75077,89,29453,Sports,2024-12-23
359,57,Male,Mumbai,132782,72,11744,Clothing,2024-12-24
360,63,Male,Mumbai,142046,45,38102,Furniture,2024-12-25
361,41,Male,Mumbai,122932,86,13226,Clothing,2024-12-26
362,49,Female,Bangalore,91906,59,28869,Electronics,2024-12-27
363,64,Male,Chennai,29528,4,23588,Sports,2024-12-28
364,39,Female,Delhi,113812,67,14440,Electronics,2024-12-29
365,40,Female,Bangalore,70100,29,32709,Clothing,2024-12-30
366,19,Male,Bangalore,129869,29,48788,Sports,2024-12-31
367,44,Female,Delhi,28179,98,23495,Sports,2025-01-01
368,59,Female,Delhi,68781,98,38019,Electronics,2025-01-02
369,19,Female,Mumbai,75267,28,45948,Furniture,2025-01-03
370,43,Female,Bangalore,102379,77,49908,Clothing,2025-01-04
371,34,Female,Hyderabad,43952,79,1922,Groceries,2025-01-05
372,57,Female,Delhi,73798,87,28526,Groceries,2025-01-06
373,50,Male,Delhi,118696,44,8957,Electronics,2025-01-07
374,26,Female,Chennai,130434,90,49564,Clothing,2025-01-08
375,60,Female,Hyderabad,70939,4,34998,Clothing,2025-01-09
376,56,Female,Hyderabad,49516,90,44395,Electronics,2025-01-10
377,46,Male,Delhi,76526,9,25031,Clothing,2025-01-11
378,59,Female,Mumbai,30449,5,11006,Furniture,2025-01-12
379,43,Male,Chennai,70290,56,38701,Electronics,2025-01-13
380,52,Female,Hyderabad,146688,96,48063,Furniture,2025-01-14
381,42,Male,Delhi,106661,84,26939,Clothing,2025-01-15
382,41,Male,Hyderabad,92954,50,21324,Electronics,2025-01-16
383,30,Female,Chennai,42746,75,23867,Clothing,2025-01-17
384,24,Female,Chennai,87990,15,1203,Electronics,2025-01-18
385,53,Male,Bangalore,78810,32,17544,Clothing,2025-01-19
386,62,Female,Delhi,138362,28,16899,Furniture,2025-01-20
387,37,Male,Chennai,103297,22,30063,Furniture,2025-01-21
388,18,Male,Bangalore,35223,17,26344,Clothing,2025-01-22
389,25,Male,Bangalore,92237,59,4748,Electronics,2025-01-23
390,63,Male,Hyderabad,22597,90,40486,Groceries,2025-01-24
391,33,Male,Hyderabad,85677,71,2093,Furniture,2025-01-25
392,31,Female,Bangalore,22659,57,16228,Furniture,2025-01-26
393,29,Male,Hyderabad,106516,26,21884,Groceries,2025-01-27
394,40,Male,Chennai,94567,25,26183,Clothing,2025-01-28
395,32,Female,Mumbai,35037,10,17034,Electronics,2025-01-29
396,45,Male,Chennai,146498,45,6710,Clothing,2025-01-30
397,51,Female,Bangalore,66738,83,43500,Sports,2025-01-31
398,19,Female,Bangalore,123965,11,20259,Furniture,2025-02-01
399,49,Female,Chennai,91678,77,36959,Sports,2025-02-02
400,40,Male,Hyderabad,32109,53,34457,Furniture,2025-02-03
401,39,Male,Hyderabad,42010,72,21143,Furniture,2025-02-04
402,42,Male,Bangalore,28787,68,3103,Sports,2025-02-05
403,39,Female,Delhi,128400,95,1365,Sports,2025-02-06
404,39,Male,Hyderabad,28472,28,47778,Clothing,2025-02-07
405,59,Female,Chennai,135111,75,45535,Sports,2025-02-08
406,23,Male,Hyderabad,43383,65,17103,Clothing,2025-02-09
407,32,Female,Chennai,81709,49,33510,Clothing,2025-02-10
408,60,Male,Bangalore,89785,47,25476,Clothing,2025-02-11
409,54,Male,Hyderabad,133253,52,13742,Furniture,2025-02-12
410,50,Male,Chennai,54518,88,13391,Furniture,2025-02-13
411,25,Female,Bangalore,73909,54,37940,Sports,2025-02-14
412,61,Female,Delhi,38351,60,29901,Furniture,2025-02-15
413,61,Male,Chennai,89624,57,33001,Sports,2025-02-16
414,22,Male,Delhi,73330,47,16623,Furniture,2025-02-17
415,56,Female,Delhi,142477,31,3378,Electronics,2025-02-18
416,21,Female,Mumbai,35282,46,22372,Electronics,2025-02-19
417,23,Female,Hyderabad,104866,26,45799,Sports,2025-02-20
418,62,Male,Chennai,127945,5,39437,Furniture,2025-02-21
419,49,Female,Delhi,41778,84,36503,Furniture,2025-02-22
420,47,Male,Mumbai,44264,52,31746,Clothing,2025-02-23
421,64,Female,Bangalore,79675,75,28923,Groceries,2025-02-24
422,52,Male,Chennai,25075,54,10867,Sports,2025-02-25
423,57,Female,Delhi,95948,33,42258,Groceries,2025-02-26
424,33,Female,Hyderabad,68454,50,34724,Groceries,2025-02-27
425,30,Female,Mumbai,48365,38,10306,Sports,2025-02-28
426,59,Female,Delhi,92766,27,40391,Furniture,2025-03-01
